"","logFC","AveExpr","t","P.Value","adj.P.Val","B"
"ENSMUSG00000098692",3.25821472310169,7.53835180673985,14.0262472781516,6.99289844551762e-07,2.68015716418012e-05,6.71136433587716
"ENSMUSG00000001986",3.25085738302696,8.0613891067028,16.0472126021332,2.4830687520196e-07,1.56673055782379e-05,7.7734179491082
"ENSMUSG00000042156",3.250771204847,8.37066053700296,18.1012691998471,9.76821269367445e-08,9.63554146081757e-06,8.70868099418153
"ENSMUSG00000041936",3.24318700330932,9.55132918906432,14.6649541849053,4.96950287130073e-07,2.19555842984951e-05,7.06420445111414
"ENSMUSG00000030407",3.23938111612128,9.67956341442239,19.9443648689429,4.59299693702309e-08,6.69685926804064e-06,9.44691758858594
"ENSMUSG00000082604",3.23738183925842,5.23279329688018,10.8220509154301,4.99053657570723e-06,8.65179821153464e-05,4.64417345952508
"ENSMUSG00000038295",3.22782265957864,4.54124276697859,7.76307412548761,5.6606467691952e-05,0.000465069500193472,2.03359653045138
"ENSMUSG00000021983",3.22664938108188,5.85555023703922,8.75861167201918,2.37814336805891e-05,0.000252488771852208,2.97027343636187
"ENSMUSG00000032135",3.21491958148896,7.22951476733316,8.2719794028034,3.59522280814459e-05,0.000335980416978796,2.52431947558926
"ENSMUSG00000026313",3.21465741028926,11.9127474617345,18.4625525748916,8.37768341227595e-08,9.25328645278479e-06,8.86033298971187
"ENSMUSG00000049303",3.21128402695541,6.61518094795511,14.0308873116434,6.9752055924005e-07,2.68015716418012e-05,6.71398945681707
"ENSMUSG00000016526",3.20999361237111,7.25654090274689,12.7772180285935,1.42503034125383e-06,3.90344311076248e-05,5.96920133930369
"ENSMUSG00000034620",3.19019477005877,10.0866124258067,18.0248120647525,1.00946692112516e-07,9.63554146081757e-06,8.67612647155124
"ENSMUSG00000003873",3.17299783614498,11.4474209052911,15.6213771458912,3.05579387204504e-07,1.737306864681e-05,7.56239160471327
"ENSMUSG00000072082",3.17222557521697,9.58580044924211,14.345575850679,5.88464449145444e-07,2.47227272867976e-05,6.88988762636813
"ENSMUSG00000033644",3.16208271195539,6.48239188935913,11.9013044325042,2.44145997808807e-06,5.40389407190573e-05,5.40255959757128
"ENSMUSG00000039395",3.15828476347332,9.11791598535402,13.752185398872,8.13295527410633e-07,2.85672175908661e-05,6.5546483400685
"ENSMUSG00000054901",3.14691310451025,4.81477704330792,11.4541923096085,3.25903596331589e-06,6.70206554858475e-05,5.09692743775796
"ENSMUSG00000044350",3.14406793393051,10.3941293504518,19.8540353167851,4.75844290625082e-08,6.69685926804064e-06,9.41270356325677
"ENSMUSG00000024912",3.13233045964472,6.33916047161758,13.4282359476242,9.75800786571861e-07,3.18203989830672e-05,6.36508033123681
"ENSMUSG00000020898",3.11810867190981,11.0896891754535,16.9608312745821,1.61813274381859e-07,1.24505314940109e-05,8.20553726873908
"ENSMUSG00000021222",3.11078320281712,10.0733742913493,16.8496843069393,1.70264271628638e-07,1.27752563557318e-05,8.15440723597889
"ENSMUSG00000020396",3.09888705032051,7.25410375940116,15.9142521070615,2.64781052488522e-07,1.61894700664411e-05,7.70820947506223
"ENSMUSG00000025726",3.09823163115084,3.72547027368351,7.09377758148949,0.00010673234059468,0.000755845985927995,1.34690084720582
"ENSMUSG00000040447",-3.07798081917179,7.77746219317859,-18.3114801974901,8.93012787306609e-08,9.55523682418071e-06,8.79735232223617
"ENSMUSG00000050243",3.07773883192645,3.53886941596322,2.68871659233208,0.0277506413805872,0.0564073589119208,-4.59023222412925
"ENSMUSG00000031785",3.06215315055631,6.89361372921806,8.27483855308245,3.58629684463818e-05,0.000335963895924518,2.52700436915982
"ENSMUSG00000038351",3.05060344266032,9.38152439408946,15.3165929764365,3.55690229163103e-07,1.82594268664242e-05,7.40737171216466
"ENSMUSG00000076441",3.04782112595577,10.1753606744883,15.0148898733336,4.14554004223378e-07,2.01338001483808e-05,7.25052063676528
"ENSMUSG00000078889",3.04186469234385,4.13205893465067,2.23003708588433,0.0565561576699414,0.0988505787962631,-5.30588102231498
"ENSMUSG00000033722",3.04183619995523,7.07759977843655,13.8355531523038,7.76548248209918e-07,2.8371708728466e-05,6.60266937314116
"ENSMUSG00000035179",3.0408006080575,6.18472663821138,9.33009443196211,1.49888016507763e-05,0.000183948590868308,3.46716524208587
"ENSMUSG00000020447",3.03370880465142,4.35153680750371,7.87806296841736,5.09841077510866e-05,0.000429974347142169,2.14675521532202
"ENSMUSG00000020184",3.02920718965724,12.4741673814394,23.0874422183151,1.46362759159512e-08,3.74462817997525e-06,10.5283517559583
"ENSMUSG00000055707",3.02860003862144,10.0294811372062,14.2386712552486,6.23207859355222e-07,2.55223132174826e-05,6.8306010071058
"ENSMUSG00000004655",-3.02815200841239,6.36347618586665,-10.0180672549695,8.86858165739897e-06,0.000131454647597117,4.03017298388871
"ENSMUSG00000070471",3.0262041923142,5.1756429941126,7.66815874745558,6.17689304626762e-05,0.000492999575534273,1.93915824164286
"ENSMUSG00000047861",3.02576764965438,3.72739833329199,6.48156678263599,0.000198628381869509,0.00119421172874662,0.673790465786284
"ENSMUSG00000106327",3.01898859107882,3.82075147164072,7.46732409747171,7.45082980642165e-05,0.0005778401190756,1.73618603296555
"ENSMUSG00000021303",3.00854983500256,3.91777015586977,6.60265941744369,0.000175084054217582,0.00109062128042678,0.810534993552294
"ENSMUSG00000101750",3.00143164398831,3.67636171471069,5.17086678144247,0.000874073033532694,0.00373636213085636,-0.929940818948725
"ENSMUSG00000100944",-2.99921110749941,3.4996055537497,-2.68005695912582,0.0281240348626529,0.0568961272494674,-4.60386777084318
"ENSMUSG00000006800",2.99845742743352,8.97053556684958,16.1138960822077,2.40480171422983e-07,1.56673055782379e-05,7.80589307000743
"ENSMUSG00000061742",2.98398519224189,5.91766521838601,9.64583037454784,1.1733720012147e-05,0.000158486222175903,3.73010964852694
"ENSMUSG00000070498",2.98224758312901,5.54131620979056,7.58131021092103,6.69542234884067e-05,0.000528837972835766,1.85191473830374
"ENSMUSG00000062204",2.97385827769203,3.48692913884601,5.69308280447044,0.000471610046668551,0.00235908371043553,-0.262911956108124
"ENSMUSG00000033227",2.97363965781436,3.96575514316102,8.32152739339223,3.44397543355129e-05,0.000326652960788909,2.57073692699661
"ENSMUSG00000047751",2.97091705185824,4.34473474112594,9.29790931338296,1.53736747280684e-05,0.000187329047220307,3.43991120408613
"ENSMUSG00000053706",2.9677055288722,3.4838527644361,1.97895538377587,0.0834727125298815,0.134720984068967,-5.6856092862255
"ENSMUSG00000073802",2.96637088871718,5.13225206285511,11.0064105560711,4.39745932366042e-06,8.06210996435371e-05,4.77881838770855
"ENSMUSG00000019979",2.95902430086992,12.203701572372,15.6198367981711,3.05811835130977e-07,1.737306864681e-05,7.56161663247883
"ENSMUSG00000034394",2.948654864414,5.92647337737235,12.9868753404014,1.25902364445186e-06,3.64303459429169e-05,6.09893710103422
"ENSMUSG00000108086",2.94818341409322,3.47409170704661,8.16147328484133,3.95991394922293e-05,0.000358223127137102,2.41994371576269
"ENSMUSG00000021614",2.93309243561875,7.92051244074386,14.2327696379873,6.25191825404841e-07,2.55223132174826e-05,6.8273141812001
"ENSMUSG00000022094",2.92785752409013,10.0517738247279,18.6742089040409,7.66711875246103e-08,8.75073820280886e-06,8.94754195550279
"ENSMUSG00000005233",2.92467899100472,8.68315268310197,11.0059408619629,4.39886641132294e-06,8.06210996435371e-05,4.77847813208438
"ENSMUSG00000023000",2.92376318142561,4.38328365201678,8.8505335400546,2.20427152373961e-05,0.000239981739182334,3.05209478154717
"ENSMUSG00000052684",2.91517762783281,10.3863467862992,12.3195523390557,1.87979073404426e-06,4.66406048794749e-05,5.67823254759806
"ENSMUSG00000059647",2.91416608572611,3.45708304286306,2.66844433299631,0.0286328656963603,0.0575177073302068,-4.62215005447437
"ENSMUSG00000102566",2.90092800217577,3.69298146218818,6.21376791558745,0.000264160815107645,0.00149680454774221,0.364801286608729
"ENSMUSG00000028362",2.90048817718829,6.88153062656937,13.7518110567692,8.13464870067012e-07,2.85672175908661e-05,6.55443201759982
"ENSMUSG00000104765",2.89805384418618,5.02087683456833,6.90753932026482,0.000128370567127903,0.000867800240564538,1.14687792555696
"ENSMUSG00000024042",2.89357842772216,11.805182731263,15.26738498412,3.64615456984442e-07,1.82594268664242e-05,7.38202298436332
